term,level,parent,term_family,full_path
Business data processing,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Business data processing
Data analysis,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Data analysis
Data collection,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Data collection
Data integration,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Data integration
Data preprocessing,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Data preprocessing
Data transfer,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Data transfer
Information exchange,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Information exchange
Spreadsheet programs,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Spreadsheet programs
Text processing,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Text processing
Virtual enterprises,3,Data processing,Computers and information processing,Computers and information processing > Data systems > Data processing > Virtual enterprises
Data warehouses,2,Data systems,Computers and information processing,Computers and information processing > Data systems > Data warehouses
Database machines,1,Computers and information processing,Computers and information processing,Computers and information processing > Database machines
Digital systems,1,Computers and information processing,Computers and information processing,Computers and information processing > Digital systems
Digital preservation,2,Digital systems,Computers and information processing,Computers and information processing > Digital systems > Digital preservation
Digital storage,2,Digital systems,Computers and information processing,Computers and information processing > Digital systems > Digital storage
Solid state drives,3,Digital storage,Computers and information processing,Computers and information processing > Digital systems > Digital storage > Solid state drives
Digital transformation,2,Digital systems,Computers and information processing,Computers and information processing > Digital systems > Digital transformation
Fourth Industrial Revolution,3,Digital transformation,Computers and information processing,Computers and information processing > Digital systems > Digital transformation > Fourth Industrial Revolution
Internet,2,Digital systems,Computers and information processing,Computers and information processing > Digital systems > Internet
Bot (Internet),3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Bot (Internet)
Botnet,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Botnet
Cloud computing,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Cloud computing
Crowdsourcing,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Crowdsourcing
Instant messaging,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Instant messaging
Internet of Things,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Internet of Things
Internet privacy,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Internet privacy
Internet security,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Internet security
Internet telephony,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Internet telephony
Internet topology,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Internet topology
Linked data,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Linked data
Middleboxes,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Middleboxes
Semantic Web,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Semantic Web
Social computing,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Social computing
Web 2.0,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Web 2.0
Web services,3,Internet,Computers and information processing,Computers and information processing > Digital systems > Internet > Web services
ISDN,2,Digital systems,Computers and information processing,Computers and information processing > Digital systems > ISDN
B-ISDN,3,ISDN,Computers and information processing,Computers and information processing > Digital systems > ISDN > B-ISDN
Local area networks,2,Digital systems,Computers and information processing,Computers and information processing > Digital systems > Local area networks
Wireless LAN,3,Local area networks,Computers and information processing,Computers and information processing > Digital systems > Local area networks > Wireless LAN
Metropolitan area networks,2,Digital systems,Computers and information processing,Computers and information processing > Digital systems > Metropolitan area networks
Token networks,2,Digital systems,Computers and information processing,Computers and information processing > Digital systems > Token networks
Virtual artifact,2,Digital systems,Computers and information processing,Computers and information processing > Digital systems > Virtual artifact
Distributed computing,1,Computers and information processing,Computers and information processing,Computers and information processing > Distributed computing
Client-server systems,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Client-server systems
Middleware,3,Client-server systems,Computers and information processing,Computers and information processing > Distributed computing > Client-server systems > Middleware
Servers,3,Client-server systems,Computers and information processing,Computers and information processing > Distributed computing > Client-server systems > Servers
Cluster computing,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Cluster computing
Collaborative work,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Collaborative work
Collaborative intelligence,3,Collaborative work,Computers and information processing,Computers and information processing > Distributed computing > Collaborative work > Collaborative intelligence
Cooperative communication,3,Collaborative work,Computers and information processing,Computers and information processing > Distributed computing > Collaborative work > Cooperative communication
Crowdsourcing,3,Collaborative work,Computers and information processing,Computers and information processing > Distributed computing > Collaborative work > Crowdsourcing
Social computing,3,Collaborative work,Computers and information processing,Computers and information processing > Distributed computing > Collaborative work > Social computing
Decentralized applications,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Decentralized applications
Diffserv networks,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Diffserv networks
Distributed databases,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Distributed databases
Blockchains,3,Distributed databases,Computers and information processing,Computers and information processing > Distributed computing > Distributed databases > Blockchains
Distributed information systems,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Distributed information systems
Distributed management,3,Distributed information systems,Computers and information processing,Computers and information processing > Distributed computing > Distributed information systems > Distributed management
Publish-subscribe,3,Distributed information systems,Computers and information processing,Computers and information processing > Distributed computing > Distributed information systems > Publish-subscribe
Internet,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Internet
Bot (Internet),3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Bot (Internet)
Botnet,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Botnet
Cloud computing,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Cloud computing
Crowdsourcing,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Crowdsourcing
Instant messaging,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Instant messaging
Internet of Things,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Internet of Things
Internet privacy,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Internet privacy
Internet security,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Internet security
Internet telephony,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Internet telephony
Internet topology,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Internet topology
Linked data,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Linked data
Middleboxes,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Middleboxes
Semantic Web,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Semantic Web
Social computing,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Social computing
Web 2.0,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Web 2.0
Web services,3,Internet,Computers and information processing,Computers and information processing > Distributed computing > Internet > Web services
Metacomputing,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Metacomputing
Grid computing,3,Metacomputing,Computers and information processing,Computers and information processing > Distributed computing > Metacomputing > Grid computing
Peer-to-peer computing,2,Distributed computing,Computers and information processing,Computers and information processing > Distributed computing > Peer-to-peer computing
DNA computing,1,Computers and information processing,Computers and information processing,Computers and information processing > DNA computing
File servers,1,Computers and information processing,Computers and information processing,Computers and information processing > File servers
Hardware,1,Computers and information processing,Computers and information processing,Computers and information processing > Hardware
Hardware acceleration,2,Hardware,Computers and information processing,Computers and information processing > Hardware > Hardware acceleration
Input devices,2,Hardware,Computers and information processing,Computers and information processing > Hardware > Input devices
Open source hardware,2,Hardware,Computers and information processing,Computers and information processing > Hardware > Open source hardware
Reconfigurable devices,2,Hardware,Computers and information processing,Computers and information processing > Hardware > Reconfigurable devices
Wireless access points,2,Hardware,Computers and information processing,Computers and information processing > Hardware > Wireless access points
High performance computing,1,Computers and information processing,Computers and information processing,Computers and information processing > High performance computing
Exascale computing,2,High performance computing,Computers and information processing,Computers and information processing > High performance computing > Exascale computing
Image processing,1,Computers and information processing,Computers and information processing,Computers and information processing > Image processing
Active shape model,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Active shape model
Blob detection,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Blob detection
Corner detection,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Corner detection
Feature detection,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Feature detection
Feature extraction,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Feature extraction
Fiducial markers,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Fiducial markers
Geophysical image processing,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Geophysical image processing
Gray-scale,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Gray-scale
Image analysis,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image analysis
Image classification,3,Image analysis,Computers and information processing,Computers and information processing > Image processing > Image analysis > Image classification
Image motion analysis,3,Image analysis,Computers and information processing,Computers and information processing > Image processing > Image analysis > Image motion analysis
Image quality,3,Image analysis,Computers and information processing,Computers and information processing > Image processing > Image analysis > Image quality
Image sequence analysis,3,Image analysis,Computers and information processing,Computers and information processing > Image processing > Image analysis > Image sequence analysis
Image texture analysis,3,Image analysis,Computers and information processing,Computers and information processing > Image processing > Image analysis > Image texture analysis
Object detection,3,Image analysis,Computers and information processing,Computers and information processing > Image processing > Image analysis > Object detection
Subtraction techniques,3,Image analysis,Computers and information processing,Computers and information processing > Image processing > Image analysis > Subtraction techniques
Image annotation,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image annotation
Image capture,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image capture
Image coding,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image coding
Image color analysis,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image color analysis
Image decomposition,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image decomposition
Image denoising,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image denoising
Image enhancement,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image enhancement
Image filtering,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image filtering
Image fusion,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image fusion
Image recognition,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image recognition
Image edge detection,3,Image recognition,Computers and information processing,Computers and information processing > Image processing > Image recognition > Image edge detection
Image reconstruction,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image reconstruction
Image registration,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image registration
Image representation,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image representation
Digital representation,3,Image representation,Computers and information processing,Computers and information processing > Image processing > Image representation > Digital representation
Image resolution,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image resolution
High-resolution imaging,3,Image resolution,Computers and information processing,Computers and information processing > Image processing > Image resolution > High-resolution imaging
Spatial resolution,3,Image resolution,Computers and information processing,Computers and information processing > Image processing > Image resolution > Spatial resolution
Superresolution,3,Image resolution,Computers and information processing,Computers and information processing > Image processing > Image resolution > Superresolution
Image restoration,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image restoration
Image sampling,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image sampling
Image segmentation,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image segmentation
Image sequences,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image sequences
Image stitching,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image stitching
Image synthesis,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image synthesis
Human image synthesis,3,Image synthesis,Computers and information processing,Computers and information processing > Image processing > Image synthesis > Human image synthesis
Image texture,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Image texture
Machine vision,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Machine vision
Object recognition,3,Machine vision,Computers and information processing,Computers and information processing > Image processing > Machine vision > Object recognition
Object segmentation,3,Machine vision,Computers and information processing,Computers and information processing > Image processing > Machine vision > Object segmentation
Morphological operations,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Morphological operations
Optical feedback,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Optical feedback
Pansharpening,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Pansharpening
Saliency detection,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Saliency detection
Smart pixels,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Smart pixels
Spatial coherence,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Spatial coherence
Structure from motion,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Structure from motion
Table lookup,2,Image processing,Computers and information processing,Computers and information processing > Image processing > Table lookup
Thresholding (Imaging),2,Image processing,Computers and information processing,Computers and information processing > Image processing > Thresholding (Imaging)
Memory,1,Computers and information processing,Computers and information processing,Computers and information processing > Memory
Analog memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Analog memory
Associative memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Associative memory
Cache memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Cache memory
Cache storage,3,Cache memory,Computers and information processing,Computers and information processing > Memory > Cache memory > Cache storage
Content addressable storage,2,Memory,Computers and information processing,Computers and information processing > Memory > Content addressable storage
Flash memories,2,Memory,Computers and information processing,Computers and information processing > Memory > Flash memories
Flash memory cells,3,Flash memories,Computers and information processing,Computers and information processing > Memory > Flash memories > Flash memory cells
Magnetic memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Magnetic memory
Floppy disks,3,Magnetic memory,Computers and information processing,Computers and information processing > Memory > Magnetic memory > Floppy disks
Hard disks,3,Magnetic memory,Computers and information processing,Computers and information processing > Memory > Magnetic memory > Hard disks
Memory management,2,Memory,Computers and information processing,Computers and information processing > Memory > Memory management
Neural network compression,3,Memory management,Computers and information processing,Computers and information processing > Memory > Memory management > Neural network compression
Nonvolatile memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Nonvolatile memory
Phase change memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Phase change memory
Phase change random access memory,3,Phase change memory,Computers and information processing,Computers and information processing > Memory > Phase change memory > Phase change random access memory
Random access memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Random access memory
DRAM chips,3,Random access memory,Computers and information processing,Computers and information processing > Memory > Random access memory > DRAM chips
Phase change random access memory,3,Random access memory,Computers and information processing,Computers and information processing > Memory > Random access memory > Phase change random access memory
Resistive RAM,3,Random access memory,Computers and information processing,Computers and information processing > Memory > Random access memory > Resistive RAM
SDRAM,3,Random access memory,Computers and information processing,Computers and information processing > Memory > Random access memory > SDRAM
SRAM cells,3,Random access memory,Computers and information processing,Computers and information processing > Memory > Random access memory > SRAM cells
SRAM chips,3,Random access memory,Computers and information processing,Computers and information processing > Memory > Random access memory > SRAM chips
Read only memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Read only memory
PROM,3,Read only memory,Computers and information processing,Computers and information processing > Memory > Read only memory > PROM
Read-write memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Read-write memory
Registers,2,Memory,Computers and information processing,Computers and information processing > Memory > Registers
Shift registers,3,Registers,Computers and information processing,Computers and information processing > Memory > Registers > Shift registers
Scanning probe data storage,2,Memory,Computers and information processing,Computers and information processing > Memory > Scanning probe data storage
Semiconductor memory,2,Memory,Computers and information processing,Computers and information processing > Memory > Semiconductor memory
Integrated memory circuits,3,Semiconductor memory,Computers and information processing,Computers and information processing > Memory > Semiconductor memory > Integrated memory circuits
Mobile computing,1,Computers and information processing,Computers and information processing,Computers and information processing > Mobile computing
Multi-access edge computing,2,Mobile computing,Computers and information processing,Computers and information processing > Mobile computing > Multi-access edge computing
Wireless access points,2,Mobile computing,Computers and information processing,Computers and information processing > Mobile computing > Wireless access points
Molecular computing,1,Computers and information processing,Computers and information processing,Computers and information processing > Molecular computing
Multitasking,1,Computers and information processing,Computers and information processing,Computers and information processing > Multitasking
Parametric study,2,Multitasking,Computers and information processing,Computers and information processing > Multitasking > Parametric study
Open systems,1,Computers and information processing,Computers and information processing,Computers and information processing > Open systems
Open Access,2,Open systems,Computers and information processing,Computers and information processing > Open systems > Open Access
Public domain software,3,Open Access,Computers and information processing,Computers and information processing > Open systems > Open Access > Public domain software
Open Educational Resources,2,Open systems,Computers and information processing,Computers and information processing > Open systems > Open Educational Resources
Physical layer,2,Open systems,Computers and information processing,Computers and information processing > Open systems > Physical layer
Physical layer security,3,Physical layer,Computers and information processing,Computers and information processing > Open systems > Physical layer > Physical layer security
Optical computing,1,Computers and information processing,Computers and information processing,Computers and information processing > Optical computing
Parallel processing,1,Computers and information processing,Computers and information processing,Computers and information processing > Parallel processing
Multiprocessing systems,2,Parallel processing,Computers and information processing,Computers and information processing > Parallel processing > Multiprocessing systems
Data flow computing,3,Multiprocessing systems,Computers and information processing,Computers and information processing > Parallel processing > Multiprocessing systems > Data flow computing
Processor scheduling,3,Multiprocessing systems,Computers and information processing,Computers and information processing > Parallel processing > Multiprocessing systems > Processor scheduling
Systolic arrays,3,Multiprocessing systems,Computers and information processing,Computers and information processing > Parallel processing > Multiprocessing systems > Systolic arrays
Multithreading,2,Parallel processing,Computers and information processing,Computers and information processing > Parallel processing > Multithreading
Parallel algorithms,2,Parallel processing,Computers and information processing,Computers and information processing > Parallel processing > Parallel algorithms
Pipeline processing,2,Parallel processing,Computers and information processing,Computers and information processing > Parallel processing > Pipeline processing
Pattern recognition,1,Computers and information processing,Computers and information processing,Computers and information processing > Pattern recognition
Active shape model,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Active shape model
Activity recognition,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Activity recognition
Character recognition,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Character recognition
Clustering methods,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Clustering methods
Pattern clustering,3,Clustering methods,Computers and information processing,Computers and information processing > Pattern recognition > Clustering methods > Pattern clustering
Data mining,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Data mining
Anomaly detection,3,Data mining,Computers and information processing,Computers and information processing > Pattern recognition > Data mining > Anomaly detection
Association rules,3,Data mining,Computers and information processing,Computers and information processing > Pattern recognition > Data mining > Association rules
Data privacy,3,Data mining,Computers and information processing,Computers and information processing > Pattern recognition > Data mining > Data privacy
Text analysis,3,Data mining,Computers and information processing,Computers and information processing > Pattern recognition > Data mining > Text analysis
Text mining,3,Data mining,Computers and information processing,Computers and information processing > Pattern recognition > Data mining > Text mining
Web mining,3,Data mining,Computers and information processing,Computers and information processing > Pattern recognition > Data mining > Web mining
Face recognition,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Face recognition
Fingerprint recognition,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Fingerprint recognition
Gesture recognition,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Gesture recognition
Sign language,3,Gesture recognition,Computers and information processing,Computers and information processing > Pattern recognition > Gesture recognition > Sign language
Handwriting recognition,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Handwriting recognition
Forgery,3,Handwriting recognition,Computers and information processing,Computers and information processing > Pattern recognition > Handwriting recognition > Forgery
Nearest neighbor methods,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Nearest neighbor methods
Pattern matching,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Pattern matching
Image matching,3,Pattern matching,Computers and information processing,Computers and information processing > Pattern recognition > Pattern matching > Image matching
Speech recognition,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Speech recognition
Automatic speech recognition,3,Speech recognition,Computers and information processing,Computers and information processing > Pattern recognition > Speech recognition > Automatic speech recognition
Speech analysis,3,Speech recognition,Computers and information processing,Computers and information processing > Pattern recognition > Speech recognition > Speech analysis
Text recognition,2,Pattern recognition,Computers and information processing,Computers and information processing > Pattern recognition > Text recognition
Pervasive computing,1,Computers and information processing,Computers and information processing,Computers and information processing > Pervasive computing
Ubiquitous computing,2,Pervasive computing,Computers and information processing,Computers and information processing > Pervasive computing > Ubiquitous computing
Context-aware services,3,Ubiquitous computing,Computers and information processing,Computers and information processing > Pervasive computing > Ubiquitous computing > Context-aware services
Wearable computers,2,Pervasive computing,Computers and information processing,Computers and information processing > Pervasive computing > Wearable computers
Smart glasses,3,Wearable computers,Computers and information processing,Computers and information processing > Pervasive computing > Wearable computers > Smart glasses
Petascale computing,1,Computers and information processing,Computers and information processing,Computers and information processing > Petascale computing
Platform virtualization,1,Computers and information processing,Computers and information processing,Computers and information processing > Platform virtualization
Probabilistic computing,1,Computers and information processing,Computers and information processing,Computers and information processing > Probabilistic computing
Probability computing,1,Computers and information processing,Computers and information processing,Computers and information processing > Probability computing
Quantum computing,1,Computers and information processing,Computers and information processing,Computers and information processing > Quantum computing
Quantum algorithm,2,Quantum computing,Computers and information processing,Computers and information processing > Quantum computing > Quantum algorithm
Quantum annealing,2,Quantum computing,Computers and information processing,Computers and information processing > Quantum computing > Quantum annealing
Quantum cellular automata,2,Quantum computing,Computers and information processing,Computers and information processing > Quantum computing > Quantum cellular automata
Quantum chemistry,2,Quantum computing,Computers and information processing,Computers and information processing > Quantum computing > Quantum chemistry
Quantum circuit,2,Quantum computing,Computers and information processing,Computers and information processing > Quantum computing > Quantum circuit
Quantum networks,2,Quantum computing,Computers and information processing,Computers and information processing > Quantum computing > Quantum networks
Quantum simulation,2,Quantum computing,Computers and information processing,Computers and information processing > Quantum computing > Quantum simulation
Qubit,2,Quantum computing,Computers and information processing,Computers and information processing > Quantum computing > Qubit
Real-time systems,1,Computers and information processing,Computers and information processing,Computers and information processing > Real-time systems
Telexistence,2,Real-time systems,Computers and information processing,Computers and information processing > Real-time systems > Telexistence
WebRTC,2,Real-time systems,Computers and information processing,Computers and information processing > Real-time systems > WebRTC
Software,1,Computers and information processing,Computers and information processing,Computers and information processing > Software
Anti-virus software,2,Software,Computers and information processing,Computers and information processing > Software > Anti-virus software
Application software,2,Software,Computers and information processing,Computers and information processing > Software > Application software
Decentralized applications,3,Application software,Computers and information processing,Computers and information processing > Software > Application software > Decentralized applications
Embedded software,2,Software,Computers and information processing,Computers and information processing > Software > Embedded software
Freeware,2,Software,Computers and information processing,Computers and information processing > Software > Freeware
Malware,2,Software,Computers and information processing,Computers and information processing > Software > Malware
Computer viruses,3,Malware,Computers and information processing,Computers and information processing > Software > Malware > Computer viruses
Computer worms,3,Malware,Computers and information processing,Computers and information processing > Software > Malware > Computer worms
Ransomware,3,Malware,Computers and information processing,Computers and information processing > Software > Malware > Ransomware
Rootkit,3,Malware,Computers and information processing,Computers and information processing > Software > Malware > Rootkit
Trojan horses,3,Malware,Computers and information processing,Computers and information processing > Software > Malware > Trojan horses
Middleware,2,Software,Computers and information processing,Computers and information processing > Software > Middleware
Mediation,3,Middleware,Computers and information processing,Computers and information processing > Software > Middleware > Mediation
Message-oriented middleware,3,Middleware,Computers and information processing,Computers and information processing > Software > Middleware > Message-oriented middleware
Web services,3,Middleware,Computers and information processing,Computers and information processing > Software > Middleware > Web services
Open source software,2,Software,Computers and information processing,Computers and information processing > Software > Open source software
Optical character recognition software,2,Software,Computers and information processing,Computers and information processing > Software > Optical character recognition software
Privacy-invasive software,2,Software,Computers and information processing,Computers and information processing > Software > Privacy-invasive software
Spyware,3,Privacy-invasive software,Computers and information processing,Computers and information processing > Software > Privacy-invasive software > Spyware
Public domain software,2,Software,Computers and information processing,Computers and information processing > Software > Public domain software
Python,3,Public domain software,Computers and information processing,Computers and information processing > Software > Public domain software > Python
R language,3,Public domain software,Computers and information processing,Computers and information processing > Software > Public domain software > R language
Soft sensors,2,Software,Computers and information processing,Computers and information processing > Software > Soft sensors
Software agents,2,Software,Computers and information processing,Computers and information processing > Software > Software agents
Agent-based modeling,3,Software agents,Computers and information processing,Computers and information processing > Software > Software agents > Agent-based modeling
Autonomous agents,3,Software agents,Computers and information processing,Computers and information processing > Software > Software agents > Autonomous agents
Botnet,3,Software agents,Computers and information processing,Computers and information processing > Software > Software agents > Botnet
Intelligent agents,3,Software agents,Computers and information processing,Computers and information processing > Software > Software agents > Intelligent agents
Software as a service,2,Software,Computers and information processing,Computers and information processing > Software > Software as a service
Software debugging,2,Software,Computers and information processing,Computers and information processing > Software > Software debugging
Software design,3,Software debugging,Computers and information processing,Computers and information processing > Software > Software debugging > Software design
Software maintenance,2,Software,Computers and information processing,Computers and information processing > Software > Software maintenance
Software packages,2,Software,Computers and information processing,Computers and information processing > Software > Software packages
EMTDC,3,Software packages,Computers and information processing,Computers and information processing > Software > Software packages > EMTDC
PSCAD,3,Software packages,Computers and information processing,Computers and information processing > Software > Software packages > PSCAD
SPICE,3,Software packages,Computers and information processing,Computers and information processing > Software > Software packages > SPICE
Software performance,2,Software,Computers and information processing,Computers and information processing > Software > Software performance
Software quality,2,Software,Computers and information processing,Computers and information processing > Software > Software quality
Software reusability,2,Software,Computers and information processing,Computers and information processing > Software > Software reusability
Software safety,2,Software,Computers and information processing,Computers and information processing > Software > Software safety
Software systems,2,Software,Computers and information processing,Computers and information processing > Software > Software systems
Software tools,2,Software,Computers and information processing,Computers and information processing > Software > Software tools
Authoring systems,3,Software tools,Computers and information processing,Computers and information processing > Software > Software tools > Authoring systems
System software,2,Software,Computers and information processing,Computers and information processing > Software > System software
File systems,3,System software,Computers and information processing,Computers and information processing > Software > System software > File systems
Operating systems,3,System software,Computers and information processing,Computers and information processing > Software > System software > Operating systems
Program processors,3,System software,Computers and information processing,Computers and information processing > Software > System software > Program processors
Utility programs,3,System software,Computers and information processing,Computers and information processing > Software > System software > Utility programs
Software engineering,1,Computers and information processing,Computers and information processing,Computers and information processing > Software engineering
Capability maturity model,2,Software engineering,Computers and information processing,Computers and information processing > Software engineering > Capability maturity model
